N,0,2,9
N,0,7,8
N,0,8,10
N,0,15,8
N,0,17,10
N,0,20,10
N,0,21,8
N,0,25,8
N,0,31,10
N,0,32,10
N,0,35,10
N,0,36,8
N,0,42,8
N,0,50,9
N,0,59,9
N,0,69,10
N,0,71,10
N,0,77,10
N,0,82,10
N,0,84,8
N,0,87,10
N,0,89,8
N,0,91,10
N,0,94,8
N,0,97,8
N,0,103,9
N,0,105,9
N,0,106,9
N,0,111,10
N,0,114,10
N,0,115,9
N,0,116,9
N,0,120,9
N,0,129,8
N,0,131,9
N,0,150,9
N,0,152,9
N,0,154,10
N,0,160,10
N,0,161,10
N,0,164,10
N,0,165,10
N,0,166,9
N,0,168,9
N,0,170,9
N,0,174,9
N,0,178,10
N,0,179,8
N,0,183,10
N,0,185,10
N,0,187,10
N,0,189,8
N,0,190,10
N,0,203,8
N,0,207,10
N,0,208,9
N,0,210,8
N,0,211,9
N,0,214,9
N,0,215,10
N,0,220,8
N,0,221,10
N,0,222,8
N,0,223,10
N,0,224,8
N,0,226,8
N,0,230,10
N,0,233,9
N,0,234,9
N,0,238,10
N,0,239,8
N,0,241,10
N,0,242,10
N,0,244,10
N,0,251,9
N,0,256,8
N,0,263,9
N,0,265,10
N,0,272,8
N,0,275,9
N,0,276,10
N,0,277,10
N,0,281,10
N,0,286,10
N,0,289,10
N,0,291,8
N,0,294,10
N,0,295,10
N,0,296,9
N,0,298,8
N,0,300,9
N,0,301,10
N,0,304,8
N,0,305,8
N,0,306,8
N,0,309,9
N,0,315,10
N,0,339,8
N,0,340,9
N,0,343,10
N,0,351,8
N,0,355,10
N,0,359,8
N,0,361,10
N,0,364,8
N,0,373,8
N,0,374,9
N,0,376,8
N,0,377,10
N,0,379,8
N,0,380,9
N,0,385,8
N,0,391,10
N,0,392,8
N,0,394,9
N,0,407,8
N,0,412,10
N,0,413,8
N,0,414,9
N,0,419,9
N,0,422,8
N,0,424,10
N,0,428,9
N,0,430,9
N,0,439,9
N,0,442,9
N,0,448,9
N,0,449,10
N,0,452,10
N,0,458,9
N,0,459,8
N,0,461,8
N,0,464,9
N,0,466,9
N,0,468,8
N,0,469,10
N,0,476,8
N,0,479,8
N,0,488,10
N,0,493,10
N,0,495,8
N,0,497,9
N,0,503,9
N,0,506,10
N,0,507,10
N,0,510,10
N,0,514,8
N,0,515,8
N,0,516,8
N,0,519,8
